source,target,value
sine,first,1
sine,sinusoidal,1
sine,second,1
sine,operation,1
sine,-point,1
sine,order,1
first,second,1
first,-point,1
first,sampling,1
sinusoidal,over,1
sinusoidal,functions,1
second,-point,1
operation,rotation,1
operation,using,1
operation,order,1
order,results,1
order,while,1
order,using,1
