source,target,value
modulo,optical,1
modulo,movement,1
modulo,could,1
modulo,interest,1
modulo,considered,1
modulo,operators,1
optical,go,1
optical,fir1,1
optical,around,1
movement,some,1
movement,many,1
movement,no,1
could,done,1
could,may,1
could,should,1
interest,?,1
interest,rational,1
interest,linear,1
considered,could,1
considered,whether,1
considered,much,1
operators,size,1
operators,available,1
operators,around,1
