source,target,value
light,region,1
light,order,1
light,while,1
light,effect,1
light,results,1
light,th,1
region,was,1
region,key,1
region,effect,1
order,results,1
order,while,1
order,using,1
while,th,1
while,error,1
while,rate,1
effect,width,1
effect,order,1
results,digital,1
results,using,1
th,pulse,1
th,through,1
