source,target,value
linear,change,1
linear,term,1
linear,set,1
linear,infinite,1
linear,correct,1
linear,simply,1
change,index,1
change,mathematical,1
change,any,1
term,over,1
term,mathematical,1
term,change,1
set,infinite,1
set,change,1
infinite,change,1
infinite,suddenly,1
correct,between,1
correct,actual,1
simply,polynomial,1
simply,term,1
simply,directly,1
