source,target,value
converter,scale,1
converter,pulse,1
converter,rectangular,1
converter,times,1
converter,stopband,1
converter,running,1
scale,image,1
scale,vectors,1
scale,up,1
pulse,th,1
pulse,discrete,1
pulse,while,1
rectangular,hann,1
rectangular,vectors,1
rectangular,lpf,1
times,along,1
times,image,1
times,pulse,1
stopband,width,1
stopband,image,1
stopband,key,1
running,delay,1
running,width,1
running,averager,1
