source,target,value
computer,spectrogram,1
computer,up,1
computer,become,1
computer,after,1
computer,transition,1
computer,musical,1
spectrogram,transition,1
spectrogram,problem,1
up,vectors,1
up,image,1
become,spectrogram,1
become,your,1
become,rest,1
after,some,1
after,audio,1
after,most,1
transition,problem,1
transition,rest,1
musical,using,1
musical,pulse,1
